GEO_UID,Visible_minority%,Immigrants%,Canadian_citizens%,Housing_Renter%,Housing_Owner%,Native_english/french_speaker%,Martial_status_Married%,Single-detached_house%,Highrise_condo%,Movable_dwelling%,Avg_household_size,Age_0_14%,Age_15_64%,Age_65%,Age_avg
59153663,0.098039216,0.219146482,0.957324106,0.069204152,0.357554787,1,0.576701269,0.682692308,0,0,2.4,0.138408304,0.611303345,0.247981546,46.3
59153664,0.056390977,0.169172932,0.827067669,0.037593985,0.338345865,0.883458647,0.526315789,0.785123967,0,0,2.7,0.22556391,0.657894737,0.131578947,39
59153665,0.040577096,0.202885482,0.888187556,0.085662759,0.306582507,0.95581605,0.536519387,0.708812261,0,0.028735632,2.5,0.19386835,0.604147881,0.198376916,43.6
59153666,0.070118662,0.177993528,0.889967638,0.070118662,0.329018339,0.965480043,0.593311758,0.65625,0,0.010416667,2.4,0.156418554,0.625674218,0.21574973,46
59153667,0.058708415,0.283757339,1.007827789,0.068493151,0.342465753,1,0.577299413,0.735294118,0,0,2.5,0.176125245,0.626223092,0.205479452,44.2
59153668,0.341530055,0.232240437,0.587431694,0.587431694,0,0.887978142,0.368852459,0,0.949612403,0,1.5,0.040983607,0.860655738,0.081967213,38.9
59153669,0.243664717,0.272904483,0.389863548,0.380116959,0.068226121,0.633528265,0.22417154,0,0.947580645,0,1.4,0.019493177,0.497076023,0.477582846,58.1
59153670,0.326241135,0.390070922,0.808510638,0.453900709,0.19858156,1,0.418439716,0,0.804347826,0,1.5,0.056737589,0.836879433,0.113475177,40.9
59153671,0.262529833,0.214797136,0.704057279,0.560859189,0.095465394,0.990453461,0.357995227,0,0.568561873,0,1.5,0.035799523,0.894988067,0.059665871,36.3
59153672,0.213089802,0.304414003,0.662100457,0.624048706,0.0456621,0.95129376,0.403348554,0,0.870588235,0,1.6,0.03805175,0.859969559,0.106544901,40.6
59153673,0.269058296,0.254110613,0.792227205,0.455904335,0.201793722,1,0.403587444,0,0.534883721,0,1.6,0.037369208,0.86696562,0.089686099,40.1
59153674,0.370967742,0.39516129,0.75,0.629032258,0.024193548,1,0.467741935,0,0.640703518,0,1.6,0.024193548,0.903225806,0.072580645,39.7
59153675,0.330123796,0.192572215,0.646492435,0.625859697,0.055020633,0.962861073,0.37826685,0,0.868263473,0,1.5,0.027510316,0.914718019,0.048143054,36.8
59153676,0.252403846,0.3125,0.721153846,0.474759615,0.168269231,0.955528846,0.420673077,0,0.475352113,0,1.5,0.042067308,0.853365385,0.102163462,42.4
59153677,0.351941748,0.266990291,0.898058252,0.703883495,0,1,0.36407767,0,0.511182109,0,1.6,0.036407767,0.898058252,0.060679612,38.1
59153678,0.298013245,0.413907285,0.728476821,0.670529801,0.041390728,1,0.347682119,0,0.841463415,0,1.5,0.041390728,0.786423841,0.17384106,43.2
59153679,0.216138329,0.288184438,0.857348703,0.612391931,0.064841499,1,0.273775216,0,0.429769392,0,1.4,0.057636888,0.814121037,0.129682997,42.6
59153680,0.230870712,0.283641161,0.725593668,0.540897098,0.138522427,0.883905013,0.316622691,0,0.571177504,0,1.4,0.019788918,0.784960422,0.191292876,46.3
59153681,0.305383023,0.320910973,0.745341615,0.553830228,0.103519669,0.97826087,0.471014493,0,0.799086758,0,1.5,0.041407867,0.869565217,0.087991718,37.8
59153682,0.350877193,0.344129555,0.695006748,0.566801619,0.12145749,1,0.317139001,0,0.796963947,0,1.5,0.026990553,0.883940621,0.087719298,36.7
59153683,0.473022912,0.447154472,0.768662232,0.421286031,0.166297118,1,0.461936438,0,0.711206897,0,1.7,0.070214339,0.831485588,0.096082779,38.7
59153684,0.299089727,0.318595579,0.741222367,0.55916775,0.052015605,0.89076723,0.364109233,0,0.857142857,0,1.5,0.039011704,0.89076723,0.065019506,38
59153685,0.147928994,0.374753452,0.927021696,0.098619329,0.443786982,0.986193294,0.601577909,0,0.940594059,0,1.7,0.069033531,0.443786982,0.483234714,59.3
59153686,0.155350978,0.276179517,0.87456847,0.310701956,0.224395857,0.966628308,0.471806674,0,0.681362725,0,1.8,0.103567319,0.604142693,0.287686997,49.3
59153687,0.235008104,0.194489465,0.915721232,0.089141005,0.46191248,0.948136143,0.56726094,0,0.521126761,0,1.8,0.089141005,0.696920583,0.218800648,46
